id,name,city,country,icao,tz,latitude,longitude
8763,Clarksville–Montgomery County Regional Airport,Clarksville,USA,KCKV,America/Chicago,36.62189865,-87.41500092
8771,Lompoc Airport,Lompoc,USA,KLPC,America/Los_Angeles,34.66559982,-120.4680023
8772,Chester County G O Carlson Airport,Coatesville,USA,KMQS,America/New_York,39.97900009,-75.8655014
8777,Lake Placid Airport,Lake Placid,USA,KLKP,America/New_York,44.26449966,-73.9618988
8784,Lima Allen County Airport,Lima,USA,KAOH,America/New_York,40.706902,-84.026703
8789,Malcolm McKinnon Airport,Brunswick,USA,KSSI,America/New_York,31.15180016,-81.39129639
8790,Beaver County Airport,Beaver Falls,USA,KBVI,America/New_York,40.77249908,-80.3914032
8792,Georgetown County Airport,Georgetown,USA,KGGE,America/New_York,33.31169891,-79.31960297
8793,Hardwick Field,Cleveland,USA,KHDI,America/New_York,35.2201004,-84.83239746
8796,Renton Municipal Airport,Renton,USA,KRNT,America/Los_Angeles,47.49309921,-122.2160034
8798,Brackett Field,La Verne,USA,KPOC,America/Los_Angeles,34.09159851,-117.7819977
8801,Cross City Airport,Cross City,USA,KCTY,America/New_York,29.63549995,-83.10479736
8802,Oconee County Regional Airport,Clemson,USA,KCEU,America/New_York,34.6719017,-82.8864975
8804,Beech Factory Airport,Wichita,USA,KBEC,America/Chicago,37.69449997,-97.21499634
8808,Tom B. David Field,Calhoun,USA,KCZL,America/New_York,34.45539856,-84.93920135
8809,Habersham County Airport,Cornelia,USA,KAJR,America/New_York,34.49990082,-83.55670166
8811,Georgetown Municipal Airport,Georgetown,USA,KGTU,America/Chicago,30.67880058,-97.67939758
8812,Old Rhinebeck Airport,Rhinebeck,USA,NY94,America/New_York,41.9715004,-73.86289978
8815,Sidney Municipal-Lloyd W Carr Field,Sidney,USA,KSNY,America/Denver,41.10129929,-102.9850006
8824,Kalaeloa Airport,Kapolei,USA,PHJR,Pacific/Honolulu,21.3074,-158.070009
8833,Iosco County Airport,East Tawas,USA,K6D9,America/New_York,44.312801,-83.422302
8834,Madison County Executive Airport-Tom Sharp Jr Field,Huntsville,USA,KMDQ,America/Chicago,34.8614006,-86.55750275
8835,Leesburg Executive Airport,Leesburg,USA,KJYO,America/New_York,39.07799911,-77.55750275
8838,Anoka County-Blaine Arpt(Janes Field) Airport,Anoka,USA,KANE,America/Chicago,45.14500046,-93.21140289
8850,Williamson Sodus Airport,Williamson,USA,KSDC,America/New_York,43.23469925,-77.1210022
8854,Boulder Municipal Airport,Boulder,USA,KBDU,America/Denver,40.03939819,-105.2259979
8864,Palo Alto Airport of Santa Clara County,Palo Alto,USA,KPAO,America/Los_Angeles,37.46110153,-122.1149979
8869,Falcon Field,Mesa,USA,KFFZ,America/Phoenix,33.46080017,-111.7279968
8870,Coolidge Municipal Airport,Cooldige,USA,KP08,America/Phoenix,32.93590164,-111.427002
8871,Cottonwood Airport,Cottonwood,USA,KP52,America/Phoenix,34.72999954,-112.0350037
8874,Ak-Chin Regional Airport,Phoenix,USA,KA39,America/Phoenix,32.9908056,-111.9185278
8875,Wickenburg Municipal Airport,Wickenburg,USA,KE25,America/Phoenix,33.96889877,-112.7990036
8877,Oakland County International Airport,Pontiac,USA,KPTK,America/New_York,42.66550064,-83.42009735
8888,Dillant Hopkins Airport,Keene,USA,KEEN,America/New_York,42.89839935,-72.27079773
8893,Glasgow Industrial Airport,Glasgow,USA,07MT,America/Denver,48.42110062,-106.5279999
8925,Iowa City Municipal Airport,Iowa City,USA,KIOW,America/Chicago,41.6391983,-91.54650116
8928,Windom Municipal Airport,Windom,USA,KMWM,America/Chicago,43.91339874,-95.10939789
8931,Longview Ranch Airport,Longview,USA,OG39,America/Los_Angeles,44.6617012,-119.6520004
8935,Lee Airport,Annapolis,USA,KANP,America/New_York,38.942902,-76.568398
8950,Pecos Municipal Airport,Pecos,USA,KPEQ,America/Chicago,31.38240051,-103.5110016
8951,Hattiesburg Bobby L Chain Municipal Airport,Hattiesburg,USA,KHBG,America/Chicago,31.26479912,-89.25279999
8958,Chan Gurney Municipal Airport,Yankton,USA,KYKN,America/Chicago,42.91669846,-97.3859024
8982,Hayward Executive Airport,Hayward,USA,KHWD,America/Los_Angeles,37.65919876,-122.1220016
8989,Ann Arbor Municipal Airport,Ann Arbor,USA,KARB,America/New_York,42.22299957,-83.74559784
9066,Atlanta South Regional Airport/Tara Field,Hampton,USA,K4A7,America/New_York,33.389099,-84.332397
9093,Comarapa Airport,Salt Lake City,USA,SLCR,America/La_Paz,-17.91360092,-64.51779938
9102,Immokalee Regional Airport,Immokalee ,USA,KIMM,America/New_York,26.43320084,-81.40100098
9104,Rancho San Simeon Airport,Cambria,USA,66CA,America/Los_Angeles,35.60770035,-121.1100006
9120,Dinwiddie County Airport,Petersburg,USA,KPTB,America/New_York,37.18379974,-77.50740051
9126,Sheboygan County Memorial Airport,Sheboygan,USA,KSBM,America/Chicago,43.76959991,-87.85140228
9138,Pinal Airpark,Marana,USA,KMZJ,America/Phoenix,32.51060104,-111.3280029
9139,Glendale Municipal Airport,Glendale,USA,KGEU,America/Phoenix,33.52690125,-112.2949982
9140,Safford Regional Airport,Safford,USA,KSAD,America/Phoenix,32.85480118,-109.6350021
9164,Sikeston Memorial Municipal Airport,Sikeston,USA,KSIK,America/Chicago,36.89889908,-89.5617981
9178,Floyd Bennett Memorial Airport,Queensbury,USA,KGFL,America/New_York,43.34120178,-73.61029816
9179,Saratoga County Airport,Ballston Spa,USA,K5B2,America/New_York,43.05130005,-73.86119843
9182,Crystal River Airport,Crystal River,USA,KCGC,America/New_York,28.86730003,-82.57129669
9183,Martin State Airport,Baltimore,USA,KMTN,America/New_York,39.32569885,-76.4138031
9184,Lincoln Regional Karl Harder Field,Lincoln,USA,KLHM,America/Los_Angeles,38.90919876,-121.3509979
9185,Fostoria Metropolitan Airport,Fostoria,USA,KFZI,America/New_York,41.19079971,-83.39450073
9186,Eastern Slopes Regional Airport,Fryeburg,USA,KIZG,America/New_York,43.99110031,-70.94789886
9187,Coral Creek Airport,Placida,USA,FA54,America/New_York,26.85449982,-82.25119781
9188,Lakefront Airport,New Orleans,USA,KNEW,America/Chicago,30.04240036,-90.02829742
9189,Coeur D'Alene - Pappy Boyington Field,Coeur d'Alene,USA,KCOE,America/Los_Angeles,47.77429962,-116.8199997
9190,Beaumont Municipal Airport,Beaumont,USA,KBMT,America/Chicago,30.07069969,-94.21579742
9191,Vermilion Regional Airport,Danville,USA,KDNV,America/Chicago,40.19919968,-87.59590149
9199,Space Coast Regional Airport,Titusville,USA,KTIX,America/New_York,28.51479912,-80.79920197
9225,Andrau Airpark,Houston,USA,KAAP,America/Chicago,29.72249985,-95.58830261
9226,Flying Cloud Airport,Eden Prairie,USA,KFCM,America/Chicago,44.82720184,-93.45709991
9228,Johnson County Executive Airport,Olathe,USA,KOJC,America/Chicago,38.84759903,-94.73760223
9249,Brandywine Airport,West Goshen Township,USA,KOQN,America/New_York,39.99010086,-75.58190155
9251,Manassas Regional Airport/Harry P. Davis Field,Manassas,USA,KHEF,America/New_York,38.72140121,-77.51540375
9252,Texas Gulf Coast Regional Airport,Angleton,USA,KLBX,America/Chicago,29.10860062,-95.46209717
9305,Shelby County Airport,Shelbyville,USA,K2H0,America/Chicago,39.41040039,-88.84539795
9348,Enumclaw Airport,Enumclaw,USA,WA77,America/Los_Angeles,47.1957016,-122.0220032
9390,Fairfield County Airport,Winnsboro,USA,KFDW,America/New_York,34.31549835,-81.1088028
9396,Skyhaven Airport,Rochester,USA,KDAW,America/New_York,43.28409958,-70.9292984
9399,Newton City-County Airport,Newton,USA,KEWK,America/Chicago,38.05820084,-97.27449799
9403,Taszár Air Base,Columbus,USA,LHTA,Europe/Budapest,46.39310074,17.91749954
9406,Fort Bridger Airport,Fort Bridger,USA,KFBR,America/Denver,41.39189911,-110.4069977
9407,Prosser Airport,Prosser,USA,KS40,America/Los_Angeles,46.21340179,-119.7910004
9408,Chehalis Centralia Airport,Chehalis,USA,KCLS,America/Los_Angeles,46.67699814,-122.9830017
9409,Desert Aire Airport,Mattawa,USA,KM94,America/Los_Angeles,46.68740082,-119.9209976
9411,Evanston-Uinta County Airport-Burns Field,Evanston,USA,KEVW,America/Denver,41.27479935,-111.0350037
9412,Sabetha Municipal Airport,Sabetha,USA,KK83,America/Chicago,39.90420151,-95.77940369
9413,Mt Pleasant Regional-Faison field,Mount Pleasant,USA,KLRO,America/New_York,32.89780045,-79.78289795
9414,Souther Field,Americus,USA,KACJ,America/New_York,32.1108017,-84.18890381
9415,Weedon Field,Eufala,USA,KEUF,America/Chicago,31.95129967,-85.12889862
9416,Saluda County Airport,Saluda,USA,K6J4,America/New_York,33.92679977,-81.79460144
9417,Dare County Regional Airport,Manteo,USA,KMQI,America/New_York,35.91899872,-75.69550323
9418,Auburn Opelika Robert G. Pitts Airport,Auburn,USA,KAUO,America/Chicago,32.61510086,-85.43399811
9419,Tri Cities Airport,Endicott,USA,KCZG,America/New_York,42.078499,-76.096296
9428,Bessemer Airport,Bessemer,USA,KEKY,America/Chicago,33.31290054,-86.92590332
9429,Colorado Springs East Airport,Ellicott,USA,KA50,America/Denver,38.87440109,-104.4100037
9447,Crystal Airport,Crystal,USA,KMIC,America/Chicago,45.06200027,-93.35389709
9448,Clarke County Airport,Quitman,USA,K23M,America/Chicago,32.0848999,-88.73889923
9450,W H 'Bud' Barron Airport,Dublin,USA,KDBN,America/New_York,32.56439972,-82.98529816
9488,Corvallis Municipal Airport,Corvallis,USA,KCVO,America/Los_Angeles,44.49720001,-123.2900009
9500,El Almendro Airport,Scranton,USA,SCRT,America/Santiago,-35.96055603,-71.79333496
9511,San Agustin Airport,Morristown,USA,MRST,America/Costa_Rica,10.0666666,-84.8833313
9533,Cowra Airport,Chatsworth,USA,YCWR,Australia/Sydney,-33.84469986,148.6490021
9543,Ogden Hinckley Airport,Ogden,USA,KOGD,America/Denver,41.19589996,-112.012001
9545,Robert S Kerr Airport,Poteau,USA,KRKR,America/Chicago,35.02159882,-94.62129974
9546,Colorado Plains Regional Airport,Akron,USA,KAKO,America/Denver,40.17559814,-103.2220001
9547,Sanderson Field,Shelton,USA,KSHN,America/Los_Angeles,47.23360062,-123.1480026
9739,Napakiak Airport,Napakiak,USA,PANA,America/Anchorage,60.69029999,-161.9790039
9744,Napaskiak Airport,Napaskiak,USA,PAPK,America/Anchorage,60.70289993,-161.7779999
9746,Tok Airport,Tok,USA,PATJ,America/Anchorage,63.303333,-143.001111
9754,Causey Airport,Liberty,USA,K2A5,America/New_York,35.91180038,-79.61759949
9763,Doylestown Airport,Doylestown,USA,KDYL,America/New_York,40.33300018,-75.12229919
9772,Warren Field,Washington,USA,KOCW,America/New_York,35.57049942,-77.04979706
9773,Hyde County Airport,Engelhard,USA,K7W6,America/New_York,35.56240082,-75.9552002
9776,Stillwater Regional Airport,Stillwater,USA,KSWO,America/Chicago,36.16120148,-97.08570099
9777,Okmulgee Regional Airport,Okmulgee,USA,KOKM,America/Chicago,35.66809845,-95.94869995
9778,Cushing Municipal Airport,Cushing,USA,KCUH,America/Chicago,35.94990158,-96.77310181
9779,Clinton Sherman Airport,Clinton,USA,KCSM,America/Chicago,35.33980179,-99.20050049
9780,Strother Field,Winfield,USA,KWLD,America/Chicago,37.16859818,-97.03759766
9781,Wiley Post Airport,Oklahoma City,USA,KPWA,America/Chicago,35.53419876,-97.64710236
9782,Shreveport Downtown Airport,Shreveport,USA,KDTN,America/Chicago,32.54019928,-93.74500275
9783,Stephenville Clark Regional Airport,Stephenville,USA,KSEP,America/Chicago,32.21530151,-98.17769623
9784,Perry Municipal Airport,Perry,USA,KF22,America/Chicago,36.38560104,-97.27719879
9786,Hamilton Municipal Airport,Hamilton,USA,KMNZ,America/Chicago,31.66589928,-98.14859772
9787,Ada Municipal Airport,Ada,USA,KADH,America/Chicago,34.8042984,-96.6713028
9788,Mesquite Metro Airport,Misquite,USA,KHQZ,America/Chicago,32.74700165,-96.53040314
9789,Denton Municipal Airport,Denton,USA,KDTO,America/Chicago,33.20069885,-97.19799805
9790,Austin Executive Airport,Austin,USA,KEDC,America/Chicago,30.3974931,-97.5663935
9791,Lago Vista Tx Rusty Allen Airport,Lago Vista,USA,KRYW,America/Chicago,30.49860001,-97.96949768
9792,Brenham Municipal Airport,Brenham,USA,K11R,America/Chicago,30.21899986,-96.3742981
9793,Lakeway Airpark,Lakeway,USA,K3R9,America/Chicago,30.35750008,-97.99449921
9794,Iraan Municipal Airport,Iraan,USA,K2F0,America/Chicago,30.90570068,-101.8919983
9795,Kestrel Airpark,San Antonio,USA,K1T7,America/Chicago,29.81270027,-98.4253006
9797,Wilkes County Airport,North Wilkesboro,USA,KUKF,America/New_York,36.22280121,-81.09829712
9798,Charleston Executive Airport,Charleston,USA,KJZI,America/New_York,32.70090103,-80.00289917
9799,Danville Regional Airport,Danville,USA,KDAN,America/New_York,36.57289886,-79.33609772
9800,Brookneal/Campbell County Airport,Brookneal,USA,K0V4,America/New_York,37.14170074,-79.0164032
9806,Cheraw Municipal Airport/Lynch Bellinger Field,Cheraw,USA,KCQW,America/New_York,34.71289825,-79.95700073
9808,Wauchula Municipal Airport,Wuchula,USA,KCHN,America/New_York,27.51490021,-81.88050079
9847,Conway Horry County Airport,Conway,USA,KHYW,America/New_York,33.82849884,-79.12220001
9938,Asheboro Regional Airport,Asheboro,USA,KHBI,N/A,35.65449905,-79.8946991
9942,Henderson Field,Wallace,USA,KACZ,N/A,34.71789932,-78.00360107
9943,Emporia Greensville Regional Airport,Emporia,USA,KEMV,N/A,36.68690109,-77.48280334
10017,El Monte Airport,El Monte,USA,KEMT,N/A,34.08610153,-118.0350037
10062,Kee Field,Pineville,USA,KI16,N/A,37.60039902,-81.55930328
10102,Stinson Municipal Airport,Stinson,USA,KSSF,N/A,29.33699989,-98.47109985
10103,Sallisaw Municipal Airport,Sallisaw,USA,KJSV,N/A,35.4382019,-94.80280304
10104,Jasper County Airport-Bell Field,Jasper,USA,KJAS,N/A,30.88570023,-94.03489685
10105,El Dorado Springs Memorial Airport,El dorado springs,USA,K87K,N/A,37.8567009,-93.99909973
10106,Marfa Municipal Airport,Marfa,USA,KMRF,N/A,30.371099,-104.017997
10107,Alpine Casparis Municipal Airport,Alpine,USA,KE38,N/A,30.38419914,-103.6839981
10117,Cable Airport,Upland,USA,KCCB,N/A,34.11159897,-117.6880035
10121,Mount Sterling Montgomery County Airport,Mount Sterling,USA,KIOB,N/A,38.05810165,-83.979599
